Hz,175n,175m,175S,175Son
108.0,4.735813e-10,4.655282e-10,4.341889e-10,4.731269e-10
108.5,4.87817e-10,4.000412e-10,4.343573e-10,4.511364e-10
109.0,4.454687e-10,3.991814e-10,4.104702e-10,4.470183e-10
109.5,4.331169e-10,4.164434e-10,4.251267e-10,4.25389e-10
110.0,4.957496e-10,4.09301e-10,4.163319e-10,4.344125e-10
110.5,4.869546e-10,4.115298e-10,3.714075e-10,4.037661e-10
111.0,4.738314e-10,4.025889e-10,4.173754e-10,3.454483e-10
111.5,4.266484e-10,3.867634e-10,4.343724e-10,3.634072e-10
112.0,3.362393e-10,3.6116e-10,4.356455e-10,3.629698e-10
112.5,3.594262e-10,3.702644e-10,4.433311e-10,3.521461e-10
113.0,4.129198e-10,3.38068e-10,4.454529e-10,3.803702e-10
113.5,4.059131e-10,3.768305e-10,4.612333e-10,4.196621e-10
114.0,3.905612e-10,4.477932e-10,4.462508e-10,3.933827e-10
114.5,3.692636e-10,4.724526e-10,3.853464e-10,3.369162e-10
115.0,3.693779e-10,4.365779e-10,4.103181e-10,3.75877e-10
115.5,3.781505e-10,4.078197e-10,4.038163e-10,3.766553e-10
116.0,3.834892e-10,3.773571e-10,4.105729e-10,3.719154e-10
116.5,3.676634e-10,3.599441e-10,3.51831e-10,3.855836e-10
117.0,3.937207e-10,3.404835e-10,3.935703e-10,4.009848e-10
117.5,4.275084e-10,3.235614e-10,4.615876e-10,3.932698e-10
118.0,4.191014e-10,3.640791e-10,4.843111e-10,4.364527e-10
118.5,3.641425e-10,3.467035e-10,4.104284e-10,3.819932e-10
119.0,3.884396e-10,3.772982e-10,3.813858e-10,4.081953e-10
119.5,3.282433e-10,3.477465e-10,3.096113e-10,4.318756e-10
120.0,3.2536e-10,3.42304e-10,3.321301e-10,3.820892e-10
120.5,3.665885e-10,3.582883e-10,3.041102e-10,3.396542e-10
121.0,4.281639e-10,4.127215e-10,3.459668e-10,3.594505e-10
121.5,4.008173e-10,3.864722e-10,4.219841e-10,3.662222e-10
122.0,3.368699e-10,3.388975e-10,3.737467e-10,3.334212e-10
122.5,3.395093e-10,3.257357e-10,3.555647e-10,3.298125e-10
123.0,3.517122e-10,3.136912e-10,3.769015e-10,4.002954e-10
123.5,3.771675e-10,3.107223e-10,3.605707e-10,3.805587e-10
124.0,3.641286e-10,3.66926e-10,4.036348e-10,3.865383e-10
124.5,3.476834e-10,3.622645e-10,3.897881e-10,3.556397e-10
125.0,3.402899e-10,3.560633e-10,3.695524e-10,3.500797e-10
125.5,3.257986e-10,3.635622e-10,3.237155e-10,3.669294e-10
126.0,3.349939e-10,3.28075e-10,3.504451e-10,3.65029e-10
126.5,3.85391e-10,3.234435e-10,3.388915e-10,3.188678e-10
127.0,3.853205e-10,3.499933e-10,3.260938e-10,3.605306e-10
127.5,3.479448e-10,3.89355e-10,3.109226e-10,3.922762e-10
128.0,3.495966e-10,3.718523e-10,3.429945e-10,3.827119e-10
128.5,3.624162e-10,3.696338e-10,3.873392e-10,3.447396e-10
129.0,3.410369e-10,3.261794e-10,3.434143e-10,3.041237e-10
129.5,3.504295e-10,3.321319e-10,2.952703e-10,3.360066e-10
130.0,4.017179e-10,3.264597e-10,3.326862e-10,3.302566e-10
130.5,3.646072e-10,3.63662e-10,3.818638e-10,3.054877e-10
131.0,3.782804e-10,3.347754e-10,4.208503e-10,3.447961e-10
131.5,4.479302e-10,3.592228e-10,4.188679e-10,3.879202e-10
132.0,4.553553e-10,3.09589e-10,3.73162e-10,3.558475e-10
132.5,4.739631e-10,3.088301e-10,3.35996e-10,3.563706e-10
133.0,4.365981e-10,2.926216e-10,3.468121e-10,3.743491e-10
133.5,4.541389e-10,2.847111e-10,4.045111e-10,2.897808e-10
134.0,4.956925e-10,2.95863e-10,4.060086e-10,3.138747e-10
134.5,5.165677e-10,3.276275e-10,3.390857e-10,3.369511e-10
135.0,4.004151e-10,3.3123e-10,3.012948e-10,3.14403e-10
135.5,3.985215e-10,3.107442e-10,3.485139e-10,2.98765e-10
136.0,4.148881e-10,3.458875e-10,3.220985e-10,3.021978e-10
136.5,4.240314e-10,3.541041e-10,3.070284e-10,3.203238e-10
137.0,4.225102e-10,3.098277e-10,3.212563e-10,3.202068e-10
137.5,4.384953e-10,3.695698e-10,3.271579e-10,3.13645e-10
138.0,4.811009e-10,3.183045e-10,3.754772e-10,3.065873e-10
138.5,5.413844e-10,3.298138e-10,3.749813e-10,3.018397e-10
139.0,6.309112e-10,3.437916e-10,3.658442e-10,3.416513e-10
139.5,5.921245e-10,3.071847e-10,3.609652e-10,3.394007e-10
140.0,4.933944e-10,3.458893e-10,3.188895e-10,3.413506e-10
