Hz,113NE,113NW,113SW,113M,113SE
128.5,3.648977e-10,2.846489e-10,3.501051e-10,3.670851e-10,3.768421e-10
129.0,3.493864e-10,2.911625e-10,3.652339e-10,3.845635e-10,4.193495e-10
129.5,3.114457e-10,3.180704e-10,3.377158e-10,4.801343e-10,4.238607e-10
130.0,3.20168e-10,3.017615e-10,3.41093e-10,5.531078e-10,4.422612e-10
130.5,3.428759e-10,3.293811e-10,3.320339e-10,4.280819e-10,4.52225e-10
131.0,3.290098e-10,3.424116e-10,3.251009e-10,3.903287e-10,4.201912e-10
131.5,3.185154e-10,3.333397e-10,3.860361e-10,4.582562e-10,4.222867e-10
132.0,2.996816e-10,3.020802e-10,3.341695e-10,4.078187e-10,4.220286e-10
132.5,3.29454e-10,3.134416e-10,2.981496e-10,3.938836e-10,4.185206e-10
133.0,3.246478e-10,3.274321e-10,3.351044e-10,4.463163e-10,4.239512e-10
133.5,3.197692e-10,3.698389e-10,3.373451e-10,4.304236e-10,4.14497e-10
134.0,3.080044e-10,3.723793e-10,3.37187e-10,5.379209e-10,3.977179e-10
134.5,3.205399e-10,3.318673e-10,2.856381e-10,5.888884e-10,4.659847e-10
135.0,3.104581e-10,3.043476e-10,3.138818e-10,5.503721e-10,4.906362e-10
135.5,2.965229e-10,3.074604e-10,3.211642e-10,6.332146e-10,4.409994e-10
136.0,3.280757e-10,3.204484e-10,3.187744e-10,6.094711e-10,5.45659e-10
136.5,3.252286e-10,3.13911e-10,3.256055e-10,5.872711e-10,6.183546e-10
137.0,3.236588e-10,3.39385e-10,2.794834e-10,6.141082e-10,5.460623e-10
137.5,3.110597e-10,3.455423e-10,3.084205e-10,6.650978e-10,5.953585e-10
138.0,2.817833e-10,3.048198e-10,3.263675e-10,6.856323e-10,5.220392e-10
138.5,3.000441e-10,2.978145e-10,3.13169e-10,6.318611e-10,5.189439e-10
139.0,2.97917e-10,3.195296e-10,3.233413e-10,6.654051e-10,5.412512e-10
139.5,2.923193e-10,3.17721e-10,3.411959e-10,6.286851e-10,6.57448e-10
140.0,2.938024e-10,3.197085e-10,3.079461e-10,5.483712e-10,6.106464e-10
140.5,2.796368e-10,3.004844e-10,3.412877e-10,5.83401e-10,6.229333e-10
141.0,3.080232e-10,2.857683e-10,3.568682e-10,6.258867e-10,6.460528e-10
141.5,3.318218e-10,2.721939e-10,3.230175e-10,6.322513e-10,6.057914e-10
142.0,3.175867e-10,2.812827e-10,2.930366e-10,7.026772e-10,5.86511e-10
142.5,2.678102e-10,2.828794e-10,3.092999e-10,6.488965e-10,5.910674e-10
143.0,3.043781e-10,2.66936e-10,2.857083e-10,6.261655e-10,5.849735e-10
143.5,3.222332e-10,2.732531e-10,2.771099e-10,5.596631e-10,6.10282e-10
144.0,2.930821e-10,2.958532e-10,2.669027e-10,6.028558e-10,5.039036e-10
